ItemName, Tags, DiscountPercentage, CurrentPrice, OriginalPrice, Link
Rocket League,Multiplayer| Racing| Soccer| Sports,0%,$19.99,$19.99,http://store.steampowered.com/app/252950/Rocket_League/?snr=1_1480_4__104
Surviving Mars,Strategy| Simulation| City Builder| Survival,0%,$39.99,$39.99,http://store.steampowered.com/app/464920/Surviving_Mars/?snr=1_1480_4__104
Subnautica,Survival| Open World| Exploration| Underwater,0%,$24.99,$24.99,http://store.steampowered.com/app/264710/Subnautica/?snr=1_1480_4__104
A Hat in Time,3D Platformer| Cute| Great Soundtrack| Indie,-33%,$20.09,$29.99,http://store.steampowered.com/app/253230/A_Hat_in_Time/?snr=1_1480_4__104
Kerbal Space Program,Space| Simulation| Sandbox| Physics,-50%,$19.99,$39.99,http://store.steampowered.com/app/220200/Kerbal_Space_Program/?snr=1_1480_4__104
Northgard,Strategy| City Builder| RTS| Resource Management,-25%,$22.49,$29.99,http://store.steampowered.com/app/466560/Northgard/?snr=1_1480_4__104
Rebel Galaxy,Space| Sci-fi| Open World| Adventure,-80%,$3.99,$19.99,http://store.steampowered.com/app/290300/Rebel_Galaxy/?snr=1_1480_4__104
Counter-Strike: Global Offensive,FPS| Multiplayer| Shooter| Action,0%,$14.99,$14.99,http://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_1480_4__104
Project: Gorgon,Early Access| Sexual Content| Massively Multiplayer| Indie,-25%,$29.99,$39.99,http://store.steampowered.com/app/342940/Project_Gorgon/?snr=1_1480_4__104
Slay the Spire,Early Access| Card Game| Rogue-like| Strategy,0%,$15.99,$15.99,http://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_1480_4__104
Blackwake,Early Access| Pirates| Multiplayer| Naval,-40%,$11.99,$19.99,http://store.steampowered.com/app/420290/Blackwake/?snr=1_1480_4__104
Rust,Survival| Crafting| Multiplayer| Open World,0%,$34.99,$34.99,http://store.steampowered.com/app/252490/Rust/?snr=1_1480_4__104
ARK: Survival Evolved,Survival| Dinosaurs| Open World| Multiplayer,0%,$59.99,$59.99,http://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_1480_4__104
Stellaris,Space| Strategy| Grand Strategy| Sci-fi,0%,$39.99,$39.99,http://store.steampowered.com/app/281990/Stellaris/?snr=1_1480_4__104
Endless Space 2,Strategy| Space| Sci-fi| 4X,-50%,$19.99,$39.99,http://store.steampowered.com/app/392110/Endless_Space_2/?snr=1_1480_4__104
Total War: ROME II - Emperor Edition,Strategy| Historical| Turn-Based Strategy| Grand Strategy,-50%,$29.97,$59.95,http://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_1480_4__104
Sid Meiers Civilization VI,Strategy| Turn-Based Strategy| Historical| Multiplayer,0%,$59.99,$59.99,http://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_1480_4__104
RimWorld,Early Access| Base Building| Survival| Strategy,0%,$29.99,$29.99,http://store.steampowered.com/app/294100/RimWorld/?snr=1_1480_4__104
Stardew Valley,RPG| Simulation| Pixel Graphics| Agriculture,0%,$14.99,$14.99,http://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_1480_4__104
My Lovely Daughter,Indie| Simulation| Gore| Adventure,-10%,$13.49,$14.99,http://store.steampowered.com/app/580170/My_Lovely_Daughter/?snr=1_1480_4__104
